pl_name,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,sy_dist,sy_disterr1,sy_disterr2
HD 8673 b,1,Radial Velocity,2009,1634,17,-17,0,,,,,4513,508.507,-508.507,0,0.723,0.016,-0.016,0,37.8619,0.0543,-0.0541
HD 86950 b,1,Radial Velocity,2016,1270,57,-57,0,,,,,1144.188,222.481,-222.481,0,0.17,0.16,-0.16,0,209.839,1.96,-1.925
HD 87646 b,1,Radial Velocity,2016,13.481,0.001,-0.001,0,,,,,3941.092,222.481,-222.481,0,0.05,0.02,-0.02,0,73.58352,8.55496,-8.55496
HD 87883 b,1,Radial Velocity,2009,3309.22118,27.48456,-30.46482,0,,,,,1719.13385,149.06152,-201.82104,0,0.707,0.007,-0.007,0,18.2912,0.0125,-0.0124
HD 87883 b,1,Radial Velocity,2009,3006,117,-124,0,,,,,2005.49725,98.52681,-101.70509,0,0.72,0.038,-0.027,0,18.2912,0.0125,-0.0124
HD 87883 b,1,Radial Velocity,2009,2754,87,-87,0,,,,,489.4582,82.6358,-82.6358,0,0.53,0.12,-0.12,0,18.2912,0.0125,-0.0124
HD 87883 b,1,Radial Velocity,2009,3303,26,-25,0,,,,,728.46271,22.24799,-21.93016,0,0.7121,0.0083,-0.0079,0,18.2912,0.0125,-0.0124
HD 87883 b,1,Radial Velocity,2009,2754,87,-87,0,,,,,565.7374,108.0622,-108.0622,0,0.53,0.12,-0.12,0,18.2912,0.0125,-0.0124
HD 88072 b,1,Radial Velocity,2022,18538.79293,8925.77796,-3716.76086,0,,,,,2511.7979,485.32398,-319.73538,0,0.156,0.142,-0.1,0,35.9098,0.0689,-0.0686
HD 88133 b,1,Radial Velocity,2004,3.41587,0.00059,-0.00059,0,,,,,95.03117,10.48839,-10.48839,0,0.133,0.072,-0.072,0,73.6123,0.3053,-0.3029
HD 88133 b,1,Radial Velocity,2004,3.414884,0.00003,-0.00003,0,,,,,90.42263,2.00233,-2.00233,0,0.031,0.021,-0.021,0,73.6123,0.3053,-0.3029
HD 88133 b,1,Radial Velocity,2004,3.415,0.001,-0.001,0,,,,,92.1707,,,0,0.11,0.05,-0.05,0,73.6123,0.3053,-0.3029
HD 88133 b,1,Radial Velocity,2004,3.41587,0.00059,-0.00059,0,,,,,95.349,12.7132,-12.7132,0,0.13,0.07,-0.07,0,73.6123,0.3053,-0.3029
HD 88133 b,1,Radial Velocity,2004,3.4148674,0.0000457,-0.0000473,0,,,,,324.1866,193.8763,-88.9924,0,0.05,0.03,-0.03,0,73.6123,0.3053,-0.3029
HD 88133 b,1,Radial Velocity,2004,3.414887,0.000045,-0.000045,0,,,,,89.62806,14.62018,-14.62018,0,0,,,0,73.6123,0.3053,-0.3029
HD 88986 b,1,Radial Velocity,2023,146.05,0.43,-0.4,0,2.49,0.18,-0.18,0,17.2,4,-3.8,0,0.24,0.05,-0.05,0,33.2673,0.0459,-0.0459
HD 89307 b,1,Radial Velocity,2009,2157,63,-63,0,,,,,565.7374,41.3179,-41.3179,0,0.241,0.07,-0.07,0,32.0104,0.0528,-0.0526
HD 89307 b,1,Radial Velocity,2009,2166,38,-38,0,,,,,670.6213,66.7443,-66.7443,0,0.2,0.05,-0.05,0,32.0104,0.0528,-0.0526
HD 89307 b,1,Radial Velocity,2009,2199,61,-61,0,,,,,659.152,113.143,-113.143,0,0.25,0.09,-0.09,0,32.0104,0.0528,-0.0526
HD 89307 b,1,Radial Velocity,2009,2188,30,-28,0,,,,,642.01338,85.81367,-47.67426,0,0.174,0.041,-0.043,0,32.0104,0.0528,-0.0526
